,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,city,last_trip_date,phone,signup_date,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct,last_trip,churn,King's Landing,Winterfell,iPhone
1,8.26,5.0,5.0,1.0,Astapor,2014-05-05,Android,2014-01-29,0.0,0,0,50.0,2014-05-05,1,0,0,0
2,0.77,5.0,4.3,1.0,Astapor,2014-01-07,iPhone,2014-01-06,0.0,3,0,100.0,2014-01-07,1,0,0,1
4,3.13,4.9,4.4,1.19,Winterfell,2014-03-15,Android,2014-01-27,11.8,14,0,82.4,2014-03-15,1,0,1,0
5,10.56,5.0,3.5,1.0,Winterfell,2014-06-06,iPhone,2014-01-09,0.0,2,1,100.0,2014-06-06,0,0,1,1
7,2.04,5.0,5.0,1.0,Winterfell,2014-01-29,iPhone,2014-01-28,0.0,2,0,100.0,2014-01-29,1,0,1,1
8,4.36,5.0,4.5,1.0,Winterfell,2014-02-01,Android,2014-01-21,0.0,2,0,100.0,2014-02-01,1,0,1,0
10,4.28,4.9,5.0,1.0,Winterfell,2014-05-30,iPhone,2014-01-13,0.0,1,1,100.0,2014-05-30,1,0,1,1
11,3.81,5.0,4.0,1.0,Winterfell,2014-01-10,iPhone,2014-01-06,0.0,3,0,100.0,2014-01-10,1,0,1,1
16,10.86,3.0,5.0,1.0,King's Landing,2014-06-28,Android,2014-01-11,0.0,1,1,50.0,2014-06-28,0,1,0,0
26,1.66,5.0,4.0,1.0,Astapor,2014-01-22,Android,2014-01-16,0.0,1,0,100.0,2014-01-22,1,0,0,0
27,3.05,5.0,5.0,1.05,Winterfell,2014-03-05,iPhone,2014-01-19,20.0,3,0,100.0,2014-03-05,1,0,1,1
29,11.25,5.0,4.0,1.0,Astapor,2014-02-27,Android,2014-01-27,0.0,1,0,100.0,2014-02-27,1,0,0,0
30,6.12,4.8,5.0,1.0,Astapor,2014-02-07,iPhone,2014-01-26,0.0,4,1,25.0,2014-02-07,1,0,0,1
31,11.86,5.0,4.9,1.0,Winterfell,2014-06-14,iPhone,2014-01-25,0.0,1,0,40.0,2014-06-14,0,0,1,1
32,10.01,5.0,4.0,2.0,Winterfell,2014-06-10,iPhone,2014-01-05,100.0,1,0,100.0,2014-06-10,0,0,1,1
35,14.16,5.0,5.0,1.0,King's Landing,2014-02-21,Android,2014-01-17,0.0,2,0,100.0,2014-02-21,1,1,0,0
37,1.38,5.0,4.0,1.0,Astapor,2014-04-26,iPhone,2014-01-02,0.0,0,0,50.0,2014-04-26,1,0,0,1
40,0.83,5.0,4.0,1.0,Winterfell,2014-02-01,iPhone,2014-01-31,0.0,2,0,50.0,2014-02-01,1,0,1,1
41,3.8,5.0,4.0,1.88,Winterfell,2014-05-10,iPhone,2014-01-18,50.0,0,0,0.0,2014-05-10,1,0,1,1
42,5.72,5.0,4.0,1.5,Winterfell,2014-01-26,Android,2014-01-25,100.0,1,0,0.0,2014-01-26,1,0,1,0
43,16.52,5.0,4.5,1.0,Winterfell,2014-03-17,iPhone,2014-01-13,0.0,1,0,50.0,2014-03-17,1,0,1,1
45,3.0,4.2,4.0,1.0,Astapor,2014-04-19,Android,2014-01-10,0.0,3,0,50.0,2014-04-19,1,0,0,0
46,2.93,5.0,5.0,1.33,Astapor,2014-01-22,iPhone,2014-01-20,33.3,6,0,100.0,2014-01-22,1,0,0,1
47,3.61,5.0,5.0,1.25,Winterfell,2014-01-19,iPhone,2014-01-18,100.0,1,0,0.0,2014-01-19,1,0,1,1
48,1.75,4.8,4.8,1.0,Winterfell,2014-01-28,iPhone,2014-01-04,0.0,4,0,100.0,2014-01-28,1,0,1,1
50,3.25,5.0,5.0,1.25,Winterfell,2014-02-15,Android,2014-01-04,100.0,0,0,0.0,2014-02-15,1,0,1,0
51,3.24,5.0,4.5,1.0,Winterfell,2014-05-02,Android,2014-01-02,0.0,4,0,52.4,2014-05-02,1,0,1,0
52,4.98,5.0,5.0,1.0,Winterfell,2014-06-01,iPhone,2014-01-12,0.0,0,0,80.0,2014-06-01,0,0,1,1
53,3.15,4.8,4.4,1.56,Astapor,2014-05-16,iPhone,2014-01-17,22.2,6,1,22.2,2014-05-16,1,0,0,1
54,4.94,5.0,3.5,1.5,Winterfell,2014-06-15,iPhone,2014-01-10,50.0,2,0,50.0,2014-06-15,0,0,1,1
55,36.01,5.0,4.0,1.0,Winterfell,2014-01-17,iPhone,2014-01-04,0.0,1,0,100.0,2014-01-17,1,0,1,1
56,23.49,5.0,2.5,1.0,Astapor,2014-04-29,Android,2014-01-09,0.0,1,0,100.0,2014-04-29,1,0,0,0
57,10.21,5.0,4.3,1.0,Astapor,2014-03-10,Android,2014-01-31,0.0,0,0,66.7,2014-03-10,1,0,0,0
58,2.6,5.0,5.0,1.0,Astapor,2014-04-20,iPhone,2014-01-05,0.0,0,0,40.0,2014-04-20,1,0,0,1
59,6.05,4.5,5.0,1.25,Astapor,2014-03-29,iPhone,2014-01-25,100.0,1,0,0.0,2014-03-29,1,0,0,1
65,10.37,5.0,5.0,1.0,Winterfell,2014-03-19,iPhone,2014-01-20,0.0,1,0,75.0,2014-03-19,1,0,1,1
66,2.42,5.0,5.0,1.0,Winterfell,2014-01-28,iPhone,2014-01-07,0.0,1,1,100.0,2014-01-28,1,0,1,1
67,1.89,5.0,5.0,1.0,Winterfell,2014-06-13,Android,2014-01-18,0.0,0,0,100.0,2014-06-13,0,0,1,0
70,4.46,5.0,5.0,1.0,Astapor,2014-04-23,iPhone,2014-01-08,0.0,0,0,100.0,2014-04-23,1,0,0,1
71,1.02,5.0,5.0,1.0,Astapor,2014-01-01,Android,2014-01-01,0.0,1,0,100.0,2014-01-01,1,0,0,0
72,0.0,3.0,5.0,1.0,Astapor,2014-01-08,iPhone,2014-01-07,0.0,1,0,100.0,2014-01-08,1,0,0,1
73,37.11,5.0,5.0,1.0,Astapor,2014-01-25,iPhone,2014-01-19,0.0,2,0,0.0,2014-01-25,1,0,0,1
75,1.45,4.0,5.0,1.0,Winterfell,2014-04-27,Android,2014-01-21,0.0,0,0,0.0,2014-04-27,1,0,1,0
76,2.47,5.0,4.8,1.0,Astapor,2014-01-30,iPhone,2014-01-26,0.0,5,0,100.0,2014-01-30,1,0,0,1
78,1.82,4.0,5.0,1.0,Winterfell,2014-04-20,iPhone,2014-01-23,0.0,1,0,0.0,2014-04-20,1,0,1,1
79,10.49,5.0,5.0,1.0,Astapor,2014-06-01,Android,2014-01-23,0.0,0,1,66.7,2014-06-01,0,0,0,0
80,3.99,5.0,4.0,1.5,Astapor,2014-05-03,iPhone,2014-01-12,25.0,0,0,50.0,2014-05-03,1,0,0,1
81,17.89,4.0,4.0,3.5,Winterfell,2014-02-05,Android,2014-01-25,100.0,1,1,100.0,2014-02-05,1,0,1,0
84,5.01,5.0,4.0,1.0,Astapor,2014-06-30,iPhone,2014-01-09,0.0,0,1,100.0,2014-06-30,0,0,0,1
